date,hls_date,gcc_mean,evi,source_file
8/6/2021,8/6/2021,0.39782,0.762913823,arsmorris3_2021
7/29/2021,7/29/2021,0.40662,0.762906849,arsltarucbec1_2021
7/25/2022,7/25/2022,0.37123,0.762886822,bouldincorn_2022
8/18/2022,8/18/2022,0.39192,0.762799263,arsltarmdcr_2022
8/19/2021,8/19/2021,0.37874,0.762593985,arsmorris1_2021
8/22/2021,8/22/2021,0.37641,0.762583733,arsmorris1_2021
7/26/2022,7/26/2022,0.3737,0.762461603,bouldincorn_2022
7/23/2022,7/23/2022,0.37227,0.762223482,bouldincorn_2022
8/8/2021,8/8/2021,0.39535,0.762212873,arsmorris3_2021
7/24/2022,7/24/2022,0.37186,0.762145281,bouldincorn_2022
9/7/2022,9/7/2022,0.41231,0.761523008,arsbrooks10_2022
8/5/2021,8/5/2021,0.40712,0.761445045,arsmorris3_2021
7/22/2022,7/22/2022,0.37309,0.761409044,bouldincorn_2022
8/28/2023,8/28/2023,0.38099,0.761303723,ecb2_2023
7/23/2022,7/23/2022,0.40893,0.761258125,mead1_2022
